"movieId","title","year"
61,"Eye for an Eye",1996
63,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood",1996
64,"Two if by Sea",1996
65,"Bio-Dome",1996
66,"Lawnmower Man 2: Beyond Cyberspace",1996
70,"From Dusk Till Dawn",1996
74,"Bed of Roses",1996
75,"Big Bully",1996
79,"Juror, The",1996
86,"White Squall",1996
87,"Dunston Checks In",1996
88,"Black Sheep",1996
92,"Mary Reilly",1996
94,"Beautiful Girls",1996
95,"Broken Arrow",1996
100,"City Hall",1996
101,"Bottle Rocket",1996
102,"Mr. Wrong",1996
103,"Unforgettable",1996
104,"Happy Gilmore",1996
107,"Muppet Treasure Island",1996
113,"Before and After",1996
118,"If Lucy Fell",1996
120,"Race the Sun",1996
125,"Flirting With Disaster",1996
129,"Pie in the Sky",1996
135,"Down Periscope",1996
140,"Up Close and Personal",1996
141,"Birdcage, The",1996
291,"Poison Ivy II",1996
402,"Open Season",1996
494,"Executive Decision",1996
605,"One Fine Day",1996
608,"Fargo",1996
609,"Homeward Bound II: Lost in San Francisco",1996
611,"Hellraiser: Bloodline",1996
612,"Pallbearer, The",1996
613,"Jane Eyre",1996
619,"Ed",1996
626,"Thin Line Between Love and Hate, A",1996
628,"Primal Fear",1996
630,"Carried Away",1996
631,"All Dogs Go to Heaven 2",1996
635,"Family Thing, A",1996
637,"Sgt. Bilko",1996
639,"Girl 6",1996
640,"Diabolique",1996
647,"Courage Under Fire",1996
648,"Mission: Impossible",1996
650,"Moll Flanders",1996
653,"Dragonheart",1996
656,"Eddie",1996
661,"James and the Giant Peach",1996
662,"Fear",1996
663,"Kids in the Hall: Brain Candy",1996
664,"Faithful",1996
667,"Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite)",1996
671,"Mystery Science Theater 3000: The Movie",1996
673,"Space Jam",1996
685,"It's My Party",1996
691,"Mrs. Winterbourne",1996
692,"Solo",1996
694,"Substitute, The",1996
695,"True Crime",1996
697,"Feeling Minnesota",1996
703,"Boys",1996
704,"Quest, The",1996
705,"Cosi",1996
707,"Mulholland Falls",1996
708,"Truth About Cats & Dogs, The",1996
710,"Celtic Pride",1996
711,"Flipper",1996
719,"Multiplicity",1996
