"movieId","title","year"
1,"Toy Story",1995
2,"Jumanji",1995
3,"Grumpier Old Men",1995
4,"Waiting to Exhale",1995
5,"Father of the Bride Part II",1995
6,"Heat",1995
7,"Sabrina",1995
8,"Tom and Huck",1995
9,"Sudden Death",1995
10,"GoldenEye",1995
11,"American President, The",1995
12,"Dracula: Dead and Loving It",1995
13,"Balto",1995
14,"Nixon",1995
15,"Cutthroat Island",1995
16,"Casino",1995
17,"Sense and Sensibility",1995
18,"Four Rooms",1995
19,"Ace Ventura: When Nature Calls",1995
20,"Money Train",1995
21,"Get Shorty",1995
22,"Copycat",1995
23,"Assassins",1995
24,"Powder",1995
25,"Leaving Las Vegas",1995
26,"Othello",1995
27,"Now and Then",1995
28,"Persuasion",1995
29,"City of Lost Children, The (Cité des enfants perdus, La)",1995
30,"Shanghai Triad (Yao a yao yao dao waipo qiao)",1995
31,"Dangerous Minds",1995
32,"Twelve Monkeys (a.k.a. 12 Monkeys)",1995
34,"Babe",1995
35,"Carrington",1995
36,"Dead Man Walking",1995
37,"Across the Sea of Time",1995
38,"It Takes Two",1995
39,"Clueless",1995
40,"Cry, the Beloved Country",1995
41,"Richard III",1995
42,"Dead Presidents",1995
43,"Restoration",1995
44,"Mortal Kombat",1995
45,"To Die For",1995
46,"How to Make an American Quilt",1995
47,"Seven (a.k.a. Se7en)",1995
48,"Pocahontas",1995
50,"Usual Suspects, The",1995
52,"Mighty Aphrodite",1995
54,"Big Green, The",1995
55,"Georgia",1995
57,"Home for the Holidays",1995
59,"Confessional, The (Confessionnal, Le)",1995
60,"Indian in the Cupboard, The",1995
62,"Mr. Holland's Opus",1995
67,"Two Bits",1995
68,"French Twist (Gazon maudit)",1995
69,"Friday",1995
71,"Fair Game",1995
72,"Kicking and Screaming",1995
73,"Misérables, Les",1995
76,"Screamers",1995
78,"Crossing Guard, The",1995
80,"White Balloon, The (Badkonake sefid)",1995
81,"Things to Do in Denver When You're Dead",1995
82,"Antonia's Line (Antonia)",1995
83,"Once Upon a Time... When We Were Colored",1995
85,"Angels and Insects",1995
89,"Nick of Time",1995
93,"Vampire in Brooklyn",1995
96,"In the Bleak Midwinter",1995
97,"Hate (Haine, La)",1995
99,"Heidi Fleiss: Hollywood Madam",1995
105,"Bridges of Madison County, The",1995
110,"Braveheart",1995
112,"Rumble in the Bronx (Hont faan kui)",1995
114,"Margaret's Museum",1995
116,"Anne Frank Remembered",1995
117,"Young Poisoner's Handbook, The",1995
119,"Steal Big, Steal Little",1995
124,"Star Maker, The (Uomo delle stelle, L')",1995
130,"Angela",1995
132,"Jade",1995
136,"From the Journals of Jean Seberg",1995
138,"Neon Bible, The",1995
144,"Brothers McMullen, The",1995
145,"Bad Boys",1995
147,"Basketball Diaries, The",1995
148,"Awfully Big Adventure, An",1995
150,"Apollo 13",1995
151,"Rob Roy",1995
152,"Addiction, The",1995
153,"Batman Forever",1995
155,"Beyond Rangoon",1995
156,"Blue in the Face",1995
157,"Canadian Bacon",1995
158,"Casper",1995
159,"Clockers",1995
160,"Congo",1995
161,"Crimson Tide",1995
163,"Desperado",1995
164,"Devil in a Blue Dress",1995
165,"Die Hard: With a Vengeance",1995
166,"Doom Generation, The",1995
167,"Feast of July",1995
168,"First Knight",1995
169,"Free Willy 2: The Adventure Home",1995
170,"Hackers",1995
171,"Jeffrey",1995
172,"Johnny Mnemonic",1995
173,"Judge Dredd",1995
174,"Jury Duty",1995
175,"Kids",1995
176,"Living in Oblivion",1995
177,"Lord of Illusions",1995
179,"Mad Love",1995
180,"Mallrats",1995
181,"Mighty Morphin Power Rangers: The Movie",1995
182,"Moonlight and Valentino",1995
185,"Net, The",1995
186,"Nine Months",1995
187,"Party Girl",1995
188,"Prophecy, The",1995
189,"Reckless",1995
190,"Safe",1995
191,"Scarlet Letter, The",1995
192,"Show, The",1995
193,"Showgirls",1995
194,"Smoke",1995
195,"Something to Talk About",1995
196,"Species",1995
197,"Stars Fell on Henrietta, The",1995
198,"Strange Days",1995
200,"Tie That Binds, The",1995
201,"Three Wishes",1995
202,"Total Eclipse",1995
203,"To Wong Foo, Thanks for Everything! Julie Newmar",1995
204,"Under Siege 2: Dark Territory",1995
205,"Unstrung Heroes",1995
206,"Unzipped",1995
207,"Walk in the Clouds, A",1995
208,"Waterworld",1995
209,"White Man's Burden",1995
210,"Wild Bill",1995
212,"Bushwhacked",1995
215,"Before Sunrise",1995
216,"Billy Madison",1995
218,"Boys on the Side",1995
220,"Castle Freak",1995
222,"Circle of Friends",1995
224,"Don Juan DeMarco",1995
230,"Dolores Claiborne",1995
236,"French Kiss",1995
237,"Forget Paris",1995
238,"Far From Home: The Adventures of Yellow Dog",1995
239,"Goofy Movie, A",1995
240,"Hideaway",1995
241,"Fluke",1995
243,"Gordy",1995
244,"Gumby: The Movie",1995
250,"Heavyweights (Heavy Weights)",1995
